time,x,y,z
1.932,-0.061,0.084,0.933
1.934,-0.056,0.083,0.941
1.939,-0.052,0.082,0.942
1.945,-0.047,0.082,0.942
1.953,-0.044,0.08,0.941
1.955,-0.047,0.08,0.94
1.961,-0.051,0.082,0.941
1.975,-0.053,0.081,0.943
1.976,-0.055,0.08,0.944
1.976,-0.056,0.084,0.956
1.981,-0.052,0.083,0.964
1.984,-0.051,0.083,0.964
1.989,-0.054,0.082,0.967
1.995,-0.05,0.082,0.971
2,-0.047,0.082,0.971
2.004,-0.049,0.085,0.968
2.009,-0.051,0.085,0.965
2.021,-0.049,0.087,0.963
2.022,-0.048,0.095,0.962
2.031,-0.046,0.1,0.956
2.032,-0.044,0.104,0.947
2.043,-0.037,0.109,0.929
2.044,-0.027,0.121,0.917
2.045,-0.019,0.128,0.907
2.049,-0.011,0.133,0.893
2.054,-0.007,0.142,0.888
2.059,-0.001,0.144,0.887
2.07,0.007,0.149,0.887
2.071,0.014,0.158,0.895
2.074,0.026,0.161,0.907
2.079,0.038,0.164,0.923
2.084,0.051,0.167,0.935
2.089,0.062,0.167,0.956
2.096,0.069,0.161,0.988
2.099,0.065,0.16,1.016
2.104,0.055,0.152,1.043
2.109,0.045,0.136,1.075
2.114,0.025,0.12,1.095
2.119,0.012,0.103,1.119
2.124,-0.004,0.088,1.124
2.129,-0.017,0.072,1.127
2.134,-0.034,0.059,1.12
2.139,-0.05,0.048,1.114
2.146,-0.06,0.037,1.105
2.149,-0.069,0.033,1.09
2.154,-0.074,0.035,1.068
2.159,-0.076,0.038,1.047
2.165,-0.074,0.052,1.02
2.169,-0.073,0.063,0.991
2.175,-0.068,0.084,0.972
2.18,-0.064,0.096,0.954
2.185,-0.056,0.115,0.942
2.189,-0.044,0.131,0.931
2.2,-0.034,0.142,0.927
2.201,-0.021,0.156,0.914
2.204,-0.015,0.165,0.907
2.215,-0.013,0.173,0.911
2.216,-0.008,0.18,0.906
2.219,-0.008,0.185,0.905
2.225,-0.011,0.188,0.906
2.233,-0.007,0.183,0.91
2.235,-0.003,0.185,0.911
2.24,0.003,0.191,0.914
2.25,0.006,0.193,0.925
2.251,0.005,0.196,0.929
2.255,0.008,0.2,0.939
2.265,0.009,0.201,0.938
2.266,0.01,0.203,0.948
2.269,0.005,0.207,0.945
2.274,0.004,0.203,0.946
2.28,-0.001,0.2,0.954
2.29,0.004,0.199,0.954
2.295,0,0.192,0.947
2.3,-0.002,0.193,0.947
2.305,-0.002,0.193,0.959
2.315,0,0.191,0.968
2.315,-0.001,0.189,0.981
2.319,-0.004,0.185,0.981
2.325,-0.001,0.184,0.985
2.33,-0.001,0.179,0.984
2.335,-0.001,0.169,0.971
2.34,0,0.172,0.963
2.345,-0.005,0.168,0.951
2.35,-0.008,0.166,0.943
2.355,-0.01,0.166,0.936
2.365,-0.01,0.168,0.936
2.366,-0.011,0.17,0.932
2.369,-0.01,0.165,0.931
2.383,-0.006,0.163,0.924
2.383,-0.006,0.163,0.92
2.385,-0.009,0.16,0.92
2.39,-0.01,0.16,0.921
2.396,-0.008,0.16,0.916
2.401,-0.012,0.161,0.92
2.405,-0.012,0.162,0.932
2.41,-0.012,0.16,0.938
2.415,-0.013,0.156,0.942
2.419,-0.014,0.148,0.939
2.427,-0.021,0.141,0.952
2.43,-0.021,0.137,0.953
2.435,-0.016,0.139,0.949
2.44,-0.018,0.137,0.945
2.445,-0.025,0.13,0.942
2.45,-0.034,0.127,0.935
