time,x,y,z
2.261,0.228,0.909,0.518
2.266,0.22,0.915,0.561
2.271,0.226,0.912,0.607
2.283,0.23,0.898,0.61
2.286,0.226,0.881,0.578
2.303,0.232,0.881,0.553
2.303,0.247,0.893,0.526
2.306,0.257,0.933,0.531
2.307,0.274,1.013,0.463
2.311,0.286,1.116,0.345
2.316,0.281,1.244,0.216
2.321,0.235,1.36,0.127
2.327,0.143,1.46,0.031
2.331,0.047,1.568,-0.077
2.336,-0.009,1.703,-0.205
2.343,-0.049,1.842,-0.188
2.346,-0.117,1.937,-0.047
2.351,-0.184,1.974,0.085
2.356,-0.237,1.912,0.156
2.361,-0.291,1.745,0.215
2.366,-0.34,1.504,0.206
2.371,-0.336,1.278,0.135
2.377,-0.305,1.142,0.301
2.381,-0.218,1.053,0.568
2.386,-0.092,0.966,0.601
2.393,-0.001,0.844,0.345
2.396,0.03,0.773,-0.012
2.401,-0.01,0.714,-0.327
2.406,-0.057,0.672,-0.458
2.411,-0.029,0.672,-0.325
2.416,0.056,0.681,-0.114
2.421,0.13,0.689,0.082
2.429,0.159,0.678,0.215
2.431,0.158,0.659,0.231
2.436,0.14,0.647,0.13
2.444,0.104,0.652,-0.023
2.458,0.064,0.681,-0.146
2.459,0.038,0.735,-0.189
2.46,0.038,0.807,-0.151
2.461,0.022,0.875,-0.095
2.466,-0.014,0.921,-0.051
2.471,-0.032,0.96,-0.014
2.476,-0.043,0.997,0.017
2.481,-0.067,1.015,-0.004
2.485,-0.097,1.017,-0.063
2.492,-0.136,1.003,-0.115
2.496,-0.163,0.998,-0.121
2.501,-0.174,1.005,-0.08
2.506,-0.17,1.009,-0.024
2.511,-0.146,0.997,0.021
2.515,-0.1,0.963,0.025
2.52,-0.053,0.916,0.019
2.529,-0.006,0.876,0.026
2.531,0.044,0.857,0.056
2.535,0.101,0.848,0.092
2.542,0.165,0.835,0.119
2.545,0.245,0.822,0.132
2.55,0.319,0.812,0.141
2.558,0.33,0.797,0.144
2.56,0.297,0.77,0.147
2.565,0.306,0.769,0.126
2.571,0.288,0.8,0.103
2.578,0.243,0.824,0.099
2.58,0.215,0.845,0.102
2.586,0.208,0.872,0.102
2.602,0.201,0.892,0.088
2.603,0.159,0.889,0.066
2.604,0.123,0.877,0.035
2.611,0.102,0.866,0.015
2.611,0.075,0.865,0.016
2.615,0.049,0.864,0.015
2.62,0.041,0.86,0.017
2.625,0.051,0.854,0.009
2.63,0.065,0.847,-0.001
2.635,0.076,0.837,0.006
2.641,0.086,0.835,0.018
2.645,0.088,0.843,0.024
2.65,0.101,0.852,0.022
2.657,0.118,0.867,0.024
2.66,0.138,0.882,0.008
2.665,0.155,0.872,-0.015
2.67,0.141,0.868,-0.014
2.675,0.139,0.895,-0.004
2.68,0.14,0.917,-0.008
2.685,0.134,0.928,-0.03
2.696,0.132,0.93,-0.051
2.698,0.122,0.917,-0.063
2.7,0.114,0.911,-0.051
2.707,0.125,0.916,-0.04
2.719,0.127,0.918,-0.04
2.72,0.14,0.916,-0.055
2.72,0.157,0.911,-0.067
2.726,0.166,0.9,-0.06
2.73,0.165,0.873,-0.053
2.735,0.152,0.845,-0.056
2.74,0.153,0.817,-0.047
2.745,0.154,0.803,-0.036
2.75,0.158,0.811,-0.017
2.756,0.177,0.833,-0.012
2.76,0.215,0.853,-0.012
2.765,0.256,0.885,-0.01
2.772,0.271,0.895,-0.011
2.775,0.264,0.893,-0.026
2.78,0.255,0.898,-0.049
2.785,0.268,0.909,-0.089
2.79,0.272,0.927,-0.121
2.795,0.269,0.937,-0.147
2.8,0.242,0.939,-0.14
2.81,0.228,0.937,-0.108
2.81,0.183,0.944,-0.092
2.815,0.136,0.956,-0.088
2.82,0.086,0.971,-0.088
2.834,0.06,0.978,-0.083
2.835,0.031,0.98,-0.126
2.841,-0.001,0.996,-0.171
2.845,-0.034,1.029,-0.211
2.85,-0.065,1.055,-0.263
2.856,-0.055,1.081,-0.303
2.86,0.022,1.112,-0.378
2.865,0.116,1.126,-0.402
2.871,0.237,1.124,-0.329
2.875,0.358,1.095,-0.2
2.88,0.428,1.051,-0.078
2.885,0.419,0.999,0.004
2.89,0.382,0.985,0.021
2.895,0.347,1.009,0.049
2.9,0.284,1.039,0.049
2.905,0.223,1.082,-0.002
2.91,0.177,1.151,-0.03
2.915,0.117,1.231,-0.05
2.921,0.023,1.302,-0.059
2.925,-0.012,1.361,-0.104
2.93,-0.005,1.397,-0.164
2.938,0.004,1.355,-0.201
2.94,0.039,1.301,-0.195
2.945,0.07,1.253,-0.182
2.95,0.051,1.21,-0.158
2.958,0.019,1.172,-0.148
2.96,-0.004,1.126,-0.113
2.965,-0.001,1.087,-0.073
2.986,0.023,1.077,-0.021
2.986,0.049,1.083,0.016
2.987,0.074,1.106,0.036
2.988,0.077,1.122,0.023
2.989,0.066,1.121,-0.026
2.994,0.09,1.096,-0.113
2.999,0.112,1.053,-0.231
3.005,0.101,1.005,-0.324
3.01,0.073,0.963,-0.299
3.016,0.055,0.937,-0.15
3.025,0.003,0.928,0.035
3.027,-0.05,0.948,0.146
3.03,-0.122,1.025,0.164
3.038,-0.185,1.166,0.164
3.04,-0.188,1.317,0.147
3.045,-0.144,1.425,0.093
3.05,-0.093,1.508,0.085
3.055,-0.059,1.579,0.132
3.06,-0.031,1.626,0.172
3.065,-0.032,1.636,0.206
3.078,-0.041,1.611,0.269
3.08,-0.011,1.566,0.317
3.081,0.045,1.519,0.298
3.11,0.081,1.478,0.214
3.111,0.102,1.452,0.13
3.112,0.127,1.43,0.088
3.112,0.149,1.414,0.049
3.113,0.141,1.386,0.025
3.116,0.124,1.344,0.038
3.117,0.11,1.294,0.077
3.124,0.066,1.205,0.117
3.125,0.04,1.122,0.119
3.13,-0.008,1.011,0.097
3.136,-0.026,0.934,0.082
3.14,-0.016,0.889,0.063
3.145,-0.024,0.819,0.046
3.153,-0.008,0.792,0.071
3.154,0.057,0.81,0.124
3.16,0.124,0.824,0.185
3.165,0.179,0.828,0.187
3.174,0.169,0.785,0.166
3.175,0.12,0.728,0.143
3.181,0.124,0.697,0.095
3.186,0.16,0.705,0.109
3.189,0.182,0.726,0.169
3.195,0.195,0.734,0.189
3.203,0.196,0.708,0.193
3.205,0.192,0.701,0.171
3.238,0.129,0.651,0.182
3.239,0.078,0.618,0.206
3.24,0.047,0.613,0.216
3.241,0.013,0.595,0.227
3.242,-0.007,0.573,0.225
3.243,-0.018,0.558,0.21
3.244,-0.018,0.556,0.187
3.244,-0.004,0.557,0.178
3.253,0.015,0.555,0.182
3.259,0.021,0.551,0.172
3.26,0.021,0.552,0.169
3.264,0.027,0.559,0.157
3.279,0.026,0.564,0.164
3.279,0.024,0.568,0.178
3.279,0.004,0.564,0.192
3.286,-0.019,0.57,0.201
3.288,-0.023,0.586,0.211
3.293,-0.014,0.591,0.223
3.302,-0.008,0.6,0.234
3.303,-0.009,0.603,0.258
3.308,-0.02,0.604,0.274
3.313,-0.032,0.601,0.298
